Time,X(CH1),
Second,Volt,
3.6000434e-02,4.72000e-01,
4.0000435e-02,4.80000e-01,
4.4000436e-02,4.96000e-01,
4.8000436e-02,4.96000e-01,
5.2000437e-02,-8.00014e-03,
5.6000438e-02,-8.00014e-03,
6.0000438e-02,1.59999e-02,
6.4000435e-02,7.99990e-03,
6.8000436e-02,-8.00014e-03,
7.2000436e-02,7.99990e-03,
7.6000437e-02,-8.00014e-03,
8.0000438e-02,-8.00014e-03,
8.4000438e-02,1.59999e-02,
8.8000439e-02,1.59999e-02,
9.2000440e-02,-1.60002e-02,
9.6000440e-02,7.99990e-03,
1.0000044e-01,-1.60002e-02,
1.0400044e-01,7.99990e-03,
1.0800044e-01,-8.00014e-03,
1.1200044e-01,-8.00014e-03,
1.1600044e-01,1.59999e-02,
1.2000044e-01,7.99990e-03,
1.2400045e-01,-8.00014e-03,
1.2800044e-01,7.99990e-03,
1.3200043e-01,-8.00014e-03,
1.3600042e-01,-8.00014e-03,
1.4000042e-01,1.59999e-02,
1.4400041e-01,7.99990e-03,
1.4800040e-01,-8.00014e-03,
1.5200040e-01,7.99990e-03,
1.5600039e-01,-8.00014e-03,
1.6000038e-01,7.99990e-03,
1.6400038e-01,-8.00014e-03,
1.6800037e-01,7.99990e-03,
1.7200036e-01,-8.00014e-03,
1.7600036e-01,7.99990e-03,
1.8000035e-01,-8.00014e-03,
1.8400034e-01,7.99990e-03,
1.8800034e-01,-8.00014e-03,
1.9200033e-01,7.99990e-03,
1.9600032e-01,-8.00014e-03,
2.0000032e-01,-8.00014e-03,
2.0400031e-01,1.59999e-02,
2.0800030e-01,-8.00014e-03,
2.1200030e-01,1.59999e-02,
2.1600029e-01,7.99990e-03,
2.2000028e-01,-8.00014e-03,
2.2400028e-01,-8.00014e-03,
2.2800027e-01,7.99990e-03,
2.3200026e-01,7.99990e-03,
2.3600025e-01,-8.00014e-03,
2.4000025e-01,-8.00014e-03,
2.4400024e-01,1.59999e-02,
2.4800023e-01,-8.00014e-03,
2.5200024e-01,1.59999e-02,
2.5600025e-01,-8.00014e-03,
2.6000026e-01,1.59999e-02,
2.6400027e-01,-8.00014e-03,
2.6800027e-01,1.59999e-02,
2.7200028e-01,-8.00014e-03,
2.7600029e-01,1.59999e-02,
2.8000030e-01,7.99990e-03,
2.8400031e-01,-8.00014e-03,
2.8800032e-01,7.99990e-03,
2.9200032e-01,-8.00014e-03,
2.9600033e-01,7.99990e-03,
3.0000034e-01,-8.00014e-03,
3.0400035e-01,-8.00014e-03,
3.0800036e-01,4.96000e-01,
3.1200036e-01,4.80000e-01,
3.1600037e-01,4.88000e-01,
3.2000038e-01,4.80000e-01,
3.2400039e-01,4.96000e-01,
3.2800040e-01,4.80000e-01,
3.3200040e-01,4.88000e-01,
3.3600041e-01,4.88000e-01,
3.4000042e-01,4.80000e-01,
3.4400043e-01,4.88000e-01,
3.4800044e-01,4.80000e-01,
3.5200045e-01,4.80000e-01,
3.5600045e-01,4.88000e-01,
3.6000046e-01,4.80000e-01,
3.6400047e-01,4.96000e-01,
3.6800048e-01,4.80000e-01,
3.7200049e-01,4.96000e-01,
3.7600049e-01,4.80000e-01,
3.8000050e-01,4.96000e-01,
3.8400051e-01,4.80000e-01,
3.8800052e-01,5.04000e-01,
3.9200053e-01,4.80000e-01,
3.9600053e-01,4.96000e-01,
4.0000054e-01,4.88000e-01,
4.0400055e-01,-8.00014e-03,
4.0800056e-01,7.99990e-03,
4.1200057e-01,-8.00014e-03,
4.1600057e-01,7.99990e-03,
4.2000058e-01,-8.00014e-03,
4.2400059e-01,-8.00014e-03,
4.2800060e-01,1.59999e-02,
4.3200061e-01,7.99990e-03,
4.3600062e-01,-8.00014e-03,
4.4000062e-01,7.99990e-03,
4.4400063e-01,-8.00014e-03,
4.4800064e-01,-8.00014e-03,
4.5200065e-01,2.39999e-02,
4.5600066e-01,7.99990e-03,
4.6000066e-01,-8.00014e-03,
4.6400067e-01,-8.00014e-03,
4.6800068e-01,2.39999e-02,
4.7200069e-01,7.99990e-03,
4.7600070e-01,-8.00014e-03,
4.8000070e-01,-8.00014e-03,
4.8400071e-01,7.99990e-03,
4.8800072e-01,-8.00014e-03,
4.9200073e-01,1.59999e-02,
4.9600074e-01,-8.00014e-03,
5.0000072e-01,1.59999e-02,
5.0400072e-01,-8.00014e-03,
5.0800073e-01,1.59999e-02,
5.1200074e-01,-8.00014e-03,
5.1600075e-01,1.59999e-02,
5.2000076e-01,-8.00014e-03,
5.2400076e-01,7.99990e-03,
5.2800077e-01,-8.00014e-03,
5.3200078e-01,7.99990e-03,
5.3600079e-01,-8.00014e-03,
5.4000080e-01,7.99990e-03,
5.4400080e-01,-8.00014e-03,
5.4800081e-01,1.59999e-02,
5.5200082e-01,-8.00014e-03,
5.5600083e-01,1.59999e-02,
5.6000084e-01,-8.00014e-03,
5.6400084e-01,1.59999e-02,
5.6800085e-01,7.99990e-03,
5.7200086e-01,-8.00014e-03,
5.7600087e-01,7.99990e-03,
5.8000088e-01,-8.00014e-03,
5.8400089e-01,7.99990e-03,
5.8800089e-01,-8.00014e-03,
5.9200090e-01,-8.00014e-03,
5.9600091e-01,4.88000e-01,
6.0000092e-01,4.80000e-01,
6.0400093e-01,4.96000e-01,
6.0800093e-01,4.80000e-01,
6.1200094e-01,4.88000e-01,
6.1600095e-01,4.88000e-01,
6.2000096e-01,4.80000e-01,
6.2400097e-01,4.80000e-01,
6.2800097e-01,4.88000e-01,
6.3200098e-01,4.80000e-01,
6.3600099e-01,4.88000e-01,
6.4000100e-01,4.80000e-01,
6.4400101e-01,4.96000e-01,
6.4800102e-01,4.80000e-01,
6.5200102e-01,4.96000e-01,
6.5600103e-01,4.88000e-01,
6.6000104e-01,4.80000e-01,
6.6400105e-01,4.88000e-01,
6.6800106e-01,4.80000e-01,
6.7200106e-01,4.80000e-01,
6.7600107e-01,4.96000e-01,
6.8000108e-01,4.80000e-01,
6.8400109e-01,4.96000e-01,
6.8800110e-01,4.96000e-01,
6.9200110e-01,4.72000e-01,
6.9600111e-01,4.80000e-01,
7.0000112e-01,4.88000e-01,
7.0400113e-01,4.96000e-01,
7.0800114e-01,4.72000e-01,
7.1200114e-01,4.80000e-01,
7.1600115e-01,4.96000e-01,
7.2000116e-01,4.80000e-01,
7.2400117e-01,4.96000e-01,
7.2800118e-01,4.88000e-01,
7.3200119e-01,4.80000e-01,
7.3600119e-01,4.88000e-01,
7.4000120e-01,4.80000e-01,
7.4400121e-01,4.96000e-01,
7.4800122e-01,-8.00014e-03,
7.5200123e-01,7.99990e-03,
7.5600123e-01,-8.00014e-03,
7.6000124e-01,7.99990e-03,
7.6400125e-01,-8.00014e-03,
7.6800126e-01,-8.00014e-03,
7.7200127e-01,1.59999e-02,
7.7600127e-01,-8.00014e-03,
7.8000128e-01,1.59999e-02,
7.8400129e-01,7.99990e-03,
7.8800130e-01,-8.00014e-03,
7.9200131e-01,-8.00014e-03,
7.9600132e-01,7.99990e-03,
8.0000132e-01,7.99990e-03,
8.0400133e-01,-8.00014e-03,
8.0800134e-01,-8.00014e-03,
8.1200135e-01,7.99990e-03,
8.1600136e-01,7.99990e-03,
8.2000136e-01,-8.00014e-03,
8.2400137e-01,7.99990e-03,
8.2800138e-01,-8.00014e-03,
8.3200139e-01,-8.00014e-03,
8.3600140e-01,7.99990e-03,
8.4000140e-01,-8.00014e-03,
8.4400141e-01,1.59999e-02,
8.4800142e-01,-8.00014e-03,
8.5200143e-01,1.59999e-02,
8.5600144e-01,7.99990e-03,
8.6000144e-01,-8.00014e-03,
8.6400145e-01,7.99990e-03,
8.6800146e-01,-8.00014e-03,
8.7200147e-01,-8.00014e-03,
8.7600148e-01,1.59999e-02,
8.8000149e-01,-8.00014e-03,
8.8400149e-01,4.88000e-01,
8.8800150e-01,4.80000e-01,
8.9200151e-01,4.96000e-01,
8.9600152e-01,4.72000e-01,
9.0000153e-01,4.96000e-01,
9.0400153e-01,4.80000e-01,
9.0800154e-01,4.96000e-01,
9.1200155e-01,4.88000e-01,
9.1600156e-01,4.80000e-01,
9.2000157e-01,4.88000e-01,
9.2400157e-01,4.80000e-01,
9.2800158e-01,4.80000e-01,
9.3200159e-01,4.96000e-01,
9.3600160e-01,4.80000e-01,
9.4000161e-01,4.96000e-01,
9.4400162e-01,4.80000e-01,
9.4800162e-01,4.96000e-01,
9.5200163e-01,4.80000e-01,
9.5600164e-01,4.88000e-01,
9.6000165e-01,4.80000e-01,
9.6400166e-01,4.96000e-01,
9.6800166e-01,4.80000e-01,
9.7200167e-01,4.96000e-01,
9.7600168e-01,4.88000e-01,
9.8000169e-01,4.80000e-01,
9.8400170e-01,4.88000e-01,
9.8800170e-01,4.80000e-01,
9.9200171e-01,4.88000e-01,
9.9600172e-01,4.80000e-01,
1.0000017e+00,4.88000e-01,
1.0040016e+00,4.80000e-01,
1.0080016e+00,4.80000e-01,
1.0120015e+00,4.96000e-01,
1.0160015e+00,4.88000e-01,
1.0200014e+00,4.80000e-01,
1.0240014e+00,4.88000e-01,
1.0280013e+00,4.80000e-01,
1.0320013e+00,4.80000e-01,
1.0360012e+00,4.96000e-01,
1.0400012e+00,4.80000e-01,
1.0440011e+00,4.88000e-01,
1.0480011e+00,4.80000e-01,
1.0520010e+00,4.96000e-01,
1.0560009e+00,4.80000e-01,
1.0600009e+00,4.88000e-01,
1.0640008e+00,4.80000e-01,
1.0680008e+00,4.96000e-01,
1.0720007e+00,4.88000e-01,
1.0760007e+00,4.80000e-01,
1.0800006e+00,4.88000e-01,
1.0840006e+00,-3.20001e-02,
1.0880005e+00,7.99990e-03,
1.0920005e+00,-8.00014e-03,
1.0960004e+00,7.99990e-03,
1.1000004e+00,-8.00014e-03,
1.1040003e+00,-8.00014e-03,
1.1080003e+00,1.59999e-02,
1.1120002e+00,-8.00014e-03,
1.1160002e+00,7.99990e-03,
1.1200001e+00,-8.00014e-03,
1.1240001e+00,1.59999e-02,
1.1280000e+00,7.99990e-03,
1.1320000e+00,-8.00014e-03,
1.1359999e+00,-8.00014e-03,
1.1399999e+00,1.59999e-02,
1.1439998e+00,7.99990e-03,
1.1479998e+00,-8.00014e-03,
1.1519997e+00,-8.00014e-03,
1.1559997e+00,1.59999e-02,
1.1599996e+00,1.59999e-02,
1.1639996e+00,-8.00014e-03,
1.1679995e+00,7.99990e-03,
1.1719995e+00,-8.00014e-03,
1.1759994e+00,7.99990e-03,
1.1799994e+00,-8.00014e-03,
1.1839993e+00,-8.00014e-03,
1.1879992e+00,1.59999e-02,
1.1919992e+00,7.99990e-03,
1.1959991e+00,-8.00014e-03,
1.1999991e+00,7.99990e-03,
1.2039990e+00,-8.00014e-03,
1.2079990e+00,-8.00014e-03,
1.2119989e+00,1.59999e-02,
1.2159989e+00,7.99990e-03,
1.2199988e+00,-8.00014e-03,
1.2239988e+00,7.99990e-03,
1.2279987e+00,-8.00014e-03,
1.2319987e+00,7.99990e-03,
1.2359986e+00,-8.00014e-03,
1.2399986e+00,-8.00014e-03,
1.2439985e+00,1.59999e-02,
1.2479985e+00,7.99990e-03,
1.2519984e+00,-8.00014e-03,
1.2559984e+00,7.99990e-03,
1.2599983e+00,-8.00014e-03,
1.2639983e+00,7.99990e-03,
1.2679982e+00,-8.00014e-03,
1.2719982e+00,7.99990e-03,
1.2759981e+00,-8.00014e-03,
1.2799981e+00,7.99990e-03,
1.2839980e+00,-8.00014e-03,
1.2879980e+00,-8.00014e-03,
1.2919979e+00,1.59999e-02,
1.2959979e+00,-8.00014e-03,
1.2999978e+00,1.59999e-02,
1.3039978e+00,7.99990e-03,
1.3079977e+00,-8.00014e-03,
1.3119977e+00,-8.00014e-03,
1.3159976e+00,1.59999e-02,
1.3199975e+00,7.99990e-03,
1.3239975e+00,-8.00014e-03,
1.3279974e+00,7.99990e-03,
1.3319974e+00,-8.00014e-03,
1.3359973e+00,1.59999e-02,
1.3399973e+00,-8.00014e-03,
1.3439972e+00,7.99990e-03,
1.3479972e+00,-8.00014e-03,
1.3519971e+00,-8.00014e-03,
1.3559971e+00,1.59999e-02,
1.3599970e+00,-8.00014e-03,
1.3639970e+00,1.59999e-02,
1.3679969e+00,-8.00014e-03,
1.3719969e+00,1.59999e-02,
1.3759968e+00,-8.00014e-03,
1.3799968e+00,1.59999e-02,
1.3839967e+00,-8.00014e-03,
1.3879967e+00,1.59999e-02,
1.3919966e+00,-8.00014e-03,
1.3959966e+00,1.59999e-02,
1.3999965e+00,7.99990e-03,
1.4039965e+00,-8.00014e-03,
1.4079964e+00,-8.00014e-03,
1.4119964e+00,1.59999e-02,
1.4159963e+00,-8.00014e-03,
1.4199963e+00,1.59999e-02,
1.4239962e+00,-8.00014e-03,
1.4279962e+00,7.99990e-03,
1.4319961e+00,-8.00014e-03,
1.4359961e+00,1.59999e-02,
1.4399960e+00,7.99990e-03,
1.4439960e+00,-8.00014e-03,
1.4479959e+00,7.99990e-03,
1.4519958e+00,-8.00014e-03,
1.4559958e+00,7.99990e-03,
1.4599957e+00,-8.00014e-03,
1.4639957e+00,7.99990e-03,
1.4679956e+00,-8.00014e-03,
1.4719956e+00,7.99990e-03,
1.4759955e+00,-8.00014e-03,
1.4799955e+00,-8.00014e-03,
1.4839954e+00,1.59999e-02,
1.4879954e+00,-8.00014e-03,
1.4919953e+00,1.59999e-02,
1.4959953e+00,7.99990e-03,
1.4999952e+00,-8.00014e-03,
1.5039952e+00,7.99990e-03,
1.5079951e+00,-8.00014e-03,
1.5119951e+00,-8.00014e-03,
1.5159950e+00,1.59999e-02,
1.5199950e+00,-8.00014e-03,
1.5239949e+00,1.59999e-02,
1.5279949e+00,-8.00014e-03,
1.5319948e+00,1.59999e-02,
1.5359948e+00,7.99990e-03,
1.5399947e+00,-8.00014e-03,
1.5439947e+00,-8.00014e-03,
1.5479946e+00,7.99990e-03,
1.5519946e+00,7.99990e-03,
1.5559945e+00,-8.00014e-03,
1.5599945e+00,-8.00014e-03,
1.5639944e+00,1.59999e-02,
1.5679944e+00,-8.00014e-03,
1.5719943e+00,1.59999e-02,
1.5759943e+00,-8.00014e-03,
1.5799942e+00,7.99990e-03,
1.5839942e+00,7.99990e-03,
1.5879941e+00,-8.00014e-03,
1.5919940e+00,-8.00014e-03,
1.5959940e+00,7.99990e-03,
1.5999939e+00,7.99990e-03,
1.6039939e+00,-8.00014e-03,
1.6079938e+00,-8.00014e-03,
1.6119938e+00,1.59999e-02,
1.6159937e+00,7.99990e-03,
1.6199937e+00,-8.00014e-03,
1.6239936e+00,-8.00014e-03,
1.6279936e+00,1.59999e-02,
1.6319935e+00,7.99990e-03,
1.6359935e+00,-8.00014e-03,
1.6399934e+00,-8.00014e-03,
1.6439934e+00,1.59999e-02,
1.6479933e+00,-8.00014e-03,
1.6519933e+00,1.59999e-02,
1.6559932e+00,-8.00014e-03,
1.6599932e+00,7.99990e-03,
1.6639931e+00,7.99990e-03,
1.6679931e+00,-8.00014e-03,
1.6719930e+00,-8.00014e-03,
1.6759930e+00,1.59999e-02,
1.6799929e+00,7.99990e-03,
1.6839929e+00,-8.00014e-03,
1.6879928e+00,-8.00014e-03,
1.6919928e+00,1.59999e-02,
1.6959927e+00,-8.00014e-03,
1.6999927e+00,1.59999e-02,
1.7039926e+00,7.99990e-03,
1.7079926e+00,-8.00014e-03,
1.7119925e+00,-8.00014e-03,
1.7159925e+00,1.59999e-02,
1.7199924e+00,-8.00014e-03,
1.7239923e+00,1.59999e-02,
1.7279923e+00,7.99990e-03,
1.7319922e+00,-8.00014e-03,
1.7359922e+00,7.99990e-03,
1.7399921e+00,-8.00014e-03,
1.7439921e+00,7.99990e-03,
1.7479920e+00,-8.00014e-03,
1.7519920e+00,-8.00014e-03,
1.7559919e+00,1.59999e-02,
1.7599919e+00,-8.00014e-03,
1.7639918e+00,1.59999e-02,
1.7679918e+00,7.99990e-03,
1.7719917e+00,-8.00014e-03,
1.7759917e+00,7.99990e-03,
1.7799916e+00,-8.00014e-03,
1.7839916e+00,7.99990e-03,
1.7879915e+00,-1.60002e-02,
1.7919915e+00,-8.00014e-03,
1.7959914e+00,1.59999e-02,
1.7999914e+00,7.99990e-03,
1.8039913e+00,-8.00014e-03,
